shoeNumber	shoeName	shoeUrl	shoePrice
161	Asics Gel DS Trainer 23	https://runrepeat.com/asics-gel-ds-trainer-23	65
162	Mizuno Wave Shadow	https://runrepeat.com/mizuno-wave-shadow	53
163	Salomon S-Lab XA Amphib	https://runrepeat.com/salomon-s-lab-xa-amphib	180
164	Under Armour Threadborne Blur	https://runrepeat.com/under-armour-threadborne-blur	42
165	Altra Escalante 1.5	https://runrepeat.com/altra-escalante-15	129
166	Nike Free RN	https://runrepeat.com/nike-free-rn	55
167	Nike Flyknit Racer	https://runrepeat.com/nike-flyknit-racer	60
168	Asics Gel Cumulus 19	https://runrepeat.com/asics-gel-cumulus-19	50
169	Asics Gel Venture 5	https://runrepeat.com/asics-gel-venture	40
170	Salomon Speedcross 5	https://runrepeat.com/salomon-speedcross-5	130
171	New Balance 890 v6	https://runrepeat.com/new-balance-890-v6	50
172	Salomon XA Elevate	https://runrepeat.com/salomon-xa-elevate	65
173	Saucony Kinvara 10	https://runrepeat.com/saucony-kinvara-10	98
174	Adidas AlphaBounce Instinct	https://runrepeat.com/adidas-alphabounce-instinct	48
175	Adidas Runfalcon	https://runrepeat.com/adidas-runfalcon	48
176	Salomon XA Pro 3D	https://runrepeat.com/salomon-xa-pro-3d	125
177	Altra Torin 3.0	https://runrepeat.com/altra-torin-30	75
178	Nike Renew Arena	https://runrepeat.com/nike-renew-arena	47
179	Nike Flex RN 2017	https://runrepeat.com/nike-flex-rn-2017	50
180	Adidas Terrex Tracerocker GTX	https://runrepeat.com/adidas-terrex-tracerocker-gtx	63
181	Mizuno Wave Sky 2	https://runrepeat.com/mizuno-wave-sky-2	150
182	Saucony Hurricane ISO 4	https://runrepeat.com/saucony-hurricane-iso-4	54
183	Salomon Sonic RA Max	https://runrepeat.com/salomon-sonic-ra-max	78
184	Asics Gel Quantum 360 Knit	https://runrepeat.com/asics-gel-quantum-360-knit	120
185	Asics Gel Quantum 360	https://runrepeat.com/asics-gel-quantum-360	98
186	Under Armour Charged Escape 2	https://runrepeat.com/under-armour-charged-escape-2	68
187	Saucony Omni 16	https://runrepeat.com/saucony-omni-16	59
188	Asics GT Xpress	https://runrepeat.com/asics-gt-xpress	36
189	Mizuno Wave Horizon 2	https://runrepeat.com/mizuno-wave-horizon-2	56
190	Adidas Adizero Prime LTD	https://runrepeat.com/adidas-adizero-prime-ltd	56
191	Altra Lone Peak 4.0	https://runrepeat.com/altra-lone-peak-40	119
192	Altra Torin 3.5 Knit	https://runrepeat.com/altra-torin-35-knit	89
193	Brooks PureCadence 7	https://runrepeat.com/brooks-purecadence-7	68
194	Asics Dynamis	https://runrepeat.com/asics-dynamis	65
195	New Balance 1260 v7	https://runrepeat.com/new-balance-1260-v7	48
196	Adidas Pureboost RBL	https://runrepeat.com/adidas-pureboost-rbl	85
197	Saucony Guide 10	https://runrepeat.com/saucony-guide-10	77
198	Nike Free RN Motion Flyknit 2017	https://runrepeat.com/nike-free-rn-motion-flyknit-2017	65
199	On Cloud X	https://runrepeat.com/on-cloud-x	110
200	Under Armour Micro G Assert 7	https://runrepeat.com/under-armour-micro-g-assert-7	44
201	Hoka One One Elevon	https://runrepeat.com/hoka-one-one-elevon	160
202	Brooks Pureflow 7	https://runrepeat.com/brooks-pureflow-7	75
203	Puma Jamming	https://runrepeat.com/puma-jamming	68
204	Salomon Sonic RA	https://runrepeat.com/salomon-sonic-ra	50
205	Adidas Energy Boost 3	https://runrepeat.com/adidas-energy-boost	64
206	Saucony Fastwitch 8	https://runrepeat.com/saucony-fastwitch-8	64
207	Adidas Ultra Boost Parley	https://runrepeat.com/adidas-ultra-boost-parley	110
208	Asics Gecko XT	https://runrepeat.com/asics-gecko-xt	55
209	Brooks Levitate 2	https://runrepeat.com/brooks-levitate-2	140
210	Hoka One One Speedgoat 2	https://runrepeat.com/hoka-one-one-speedgoat-2	140
211	Altra Paradigm 4.0	https://runrepeat.com/altra-paradigm-40	90
212	Asics Gel Nimbus 18	https://runrepeat.com/asics-gel-nimbus	100
213	Nike Renew Rival	https://runrepeat.com/nike-renew-rival	40
214	Adidas AlphaBounce RC	https://runrepeat.com/adidas-alphabounce-rc	30
215	Nike Air VaporMax Flyknit 2	https://runrepeat.com/nike-air-vapormax-flyknit-2	109
216	Mizuno Wave Rider 21	https://runrepeat.com/mizuno-wave-rider-21	90
217	New Balance Fresh Foam Vongo v3	https://runrepeat.com/new-balance-fresh-foam-vongo-v3	95
