shoeNumber	shoeName	url	corescore	user_rating	shoe_image	terrain	arch_support	men_weight	women_weight	good_buy_bullets	bad_buy_bullets	bottom_line	amazonLink
424	Merrell Bare Access Flex Knit	https://runrepeat.com/merrell-bare-access-flex-knit	87	4.3/5 from 320 users	https://cdn.runrepeat.com/i/merrell/26730/merrell-mens-shoes-bare-access-flex-knit-vapor-grey-aade-600.jpg	Trail	Neutral			<s>The shoe delivered a precise fit, a couple of users stated.</s><s>The Merrell Bare Access Flex Knit gave just enough support for everyday running, wrote a reviewer.</s><s>Many users appreciated the convenient lacing system.</s><s>The midsole gave adequate cushioning despite being a barefoot shoe, said a buyer.</s><s>The toe box was pleasantly spacious, a wearer mentioned.</s><s>One reviewer was amazed at the sock-like sensation of the upper.</s>	<s>Some runners claimed the Bare Access Flex Knit did not feel like a minimalist shoe because of its bulky</s><s>A bit stiff in the heel, a user observed.</s><s>One tester experienced discomfort after wearing the shoe for an extended period.</s>	The Merrell Bare Access Flex was able to impress both new and loyal users of the brand, as the shoe received several commendations regarding the fit and efficiency of its features. However, it seemed to have missed on providing a good feel, according to some wearers. Therefore, Merrell still has some areas to improve on the Bare Access series.	https://www.amazon.com/s?k=Merrell+Bare+Access+Flex+Knit
425	Salomon Speedtrak	https://runrepeat.com/salomon-speedtrak	90	4.4/5 from 146 users	https://cdn.runrepeat.com/i/salomon/22930/salomon-speedtrak-trail-running-shoes-ss17-7-blue-5cd8-600.jpg	Trail	Neutral	8.5oz	8.6oz	<s>Most of the runners who found the right fit found the Speedtrak to be very comfortable.</s><s>It is a worthy investment, according to a handful.</s><s>The shoe is extremely durable, based on the observations of more than a few.</s><s>Very aggressive and multi-directional lugs provide grip on rugged surfaces.</s><s>Several obstacle course racers loved the combination of traction, and durability in the Salomon Speedtrak.</s><s>Some users mentioned that the upper dries fairly quick and easy to clean.</s><s>A few noted that the interior of their shoes was very clean after a tough run on dirty off-road trail.</s><s>The QuickLace system offers effortless cinching that does not untie or loosen.</s><s>Several runners appreciated the QuickLace system for its ease of use and utility.</s>	<s>Most of the negative reviews were about how narrow the toe box is.</s><s>A handful of obstacle course enthusiasts remarked that it is a bit heavy.</s><s>Some runners felt that the ride was a bit jarring on hard ground due to the aggressive and very substantial lugs.</s><s>A small number of obstacle course participants wanted drainage holes in the shoe as it is one of Salomon’s biggest market for this shoe.</s><s>It runs small, according to several expert reviewers.</s>	Salomon offers the Speedtrak as an update to the Fellraiser. It does, however, bring many of the features that have made the Fellraiser quite a popular choice among runners and obstacle course racers. The Speedtrak has unbelievable traction, excellent durability, and a no-brainer of a choice for muddy or wet running on rugged and difficult outdoor surfaces.	https://www.amazon.com/s?k=Salomon+Speedtrak
426	Vivobarefoot Primus Lite	https://runrepeat.com/vivobarefoot-primus-lite	83	4.2/5 from 39 users	https://cdn.runrepeat.com/i/vivobarefoot/24774/vivobarefoot-hombre-primus-lite-textile-synthetic-navy-entrenadores-41-eu-navy-e5a7-600.jpg	Road	Neutral			<s>The majority found the Vivobarefoot Primus Lite to be a highly comfortable shoe.</s><s>Most of the users highly appreciated the very light weight of the footwear.</s><s>Several customers highlighted that the shoe had a reliable capacity to adapt to the natural shape and movement of the foot.</s><s>A few runners welcomed the minimalist, closer-to-ground feel by saying that it was like ‘feeling the natural ground but with protection’.</s><s>Some purchasers said that they liked the overall look of the shoe.</s><s>A few users mentioned that they loved the colors the footwear was available in.</s><s>A wearer said that the shoes were comfortable ‘even without socks’.</s>	<s>A runner said that it took him time to get used to the shoe.</s>	The Vivobarefoot Primus Lite, owing to its amazing design, high comfortability and incredible looks, has the vote of the majority. The individuals loved the natural feel of the ground, which the shoe allowed. At the same time, they were satisfied with the protection the sole unit offered.	https://www.amazon.com/s?k=Vivobarefoot+Primus+Lite
427	Asics Gel Quantum 180 2	https://runrepeat.com/asics-gel-quantum-180-2	87	4.3/5 from 606 users	https://cdn.runrepeat.com/i/asics/22863/asics-men-s-gel-quantum-180-2-running-shoe-carbon-black-green-gecko-7-m-us-mens-carbon-black-green-gecko-62b2-600.jpg	Road	Neutral			<s>Several testers noted that even though the Asics Gel Quantum 180 2 felt a little too snug at first, it was quickly able to accommodate their feet after they have taken it on a run.</s><s>A lot of those who wore it felt that it was adequately comfortable.</s><s>The colorful façade of this model—and its varied color schemes—won over the hearts of many consumers.</s><s>There were runners who took note of its lightweight nature and its soft underfoot feel; they adapted well to it.</s><s>The underfoot experience felt like ‘walking on clouds’, according to a number of commenters.</s><s>Runners generally appreciated he Gel® Cushioning System, because they determined that it was really able to attenuate impact shock during the landing phase.</s><s>The foot pad of a tester didn’t feel sore when they used this shoe for their activities.</s><s>A number of reviewers reported that it was true to its sizing schemes.</s><s>There were purchasers who were able to use the Asics Gel Quantum 180 2 for work, and they stated that it kept them comfortable all day.</s>	<s>The upper unit showed some cracks after a few weeks of use, a runner commented.</s><s>The upper fabric wasn’t very breathable for a tester and they wrote that it made their feet feel like being in a sauna.</s><s>It felt narrow to a consumer; they reported some blistering because of it.</s><s>A runner lamented the lack of an arch support mechanism in this shoe, which may help in keeping the foot well-supported through long running sessions.</s><s>It was ½ size larger than what she was used to, a tester reported.</s><s>A few purchasers noticed some discomfort in their feet while testing the Gel Quantum 180 2; they believed that it’s not built for long-term use.</s>	The Asics Gel Quantum 180 2 was loved by many neutral runners. They felt that it was able to provide them with quality service and performance on the roads. They lauded its comfortable design, its appealing color schemes, and its robust technologies. There were a few who complained about some of its components because they thought that these parts were inconsistent.	https://www.amazon.com/s?k=Asics+Gel+Quantum+180+2
428	Nike Free Flyknit 3.0	https://runrepeat.com/nike-free-flyknit-3-0	87	4.3/5 from 1980 users	https://cdn.runrepeat.com/i/nike/20691/nike-men-s-free-3-0-flyknit-running-shoes-black-naranja-blanco-black-sail-hyper-orange-volt-10-5-black-naranja-blanco-black-sail-hyper-orange-volt-04c6-600.jpg	Road	Neutral			<s>Most of the minimalist runners love the ultra-light upper of the Nike Free Flyknit 3.0.</s><s>Runners who regularly use racing flats find the cushioning superb in the Flyknit 3.0.</s><s>It can be comfortably worn without socks as proven by more than several runners.</s><s>The easy off and on feature of the Free Flyknit 3.0 makes it incredible for those who use it for casual wear.</s><s>A number of users found the forefoot cushioning surprisingly better than expected.</s><s>A small number of runners noticed the smooth transition from heel to toe.</s>	<s>Runners with slightly wider feet were almost unanimous in wishing for more room in the toe box.</s><s>A few runners were a bit irritated by small rocks and other road debris getting stuck in the grooves of the Nike Free Flyknit 3.0.</s><s>The price tag is a bit high.</s>	The Nike Free Flyknit 3.0 barely provides a buffer between the ground and the runner. Because it is ultra-flexible and ultra-light, it does not offer much arch support. Runners who often use racing flats will have a blast out of this shoe.	https://www.amazon.com/s?k=Nike+Free+Flyknit+3.0
429	Saucony Excursion TR 9	https://runrepeat.com/saucony-excursion-tr	89	4.5/5 from 681 users	https://cdn.runrepeat.com/i/saucony/466/saucony-excursion-tr-9-black-yellow-mens-b08i-b72-600.jpg	Trail	Neutral			<s>The mesh and synthetic upper maintain breathable coverage that’s comfortable at the same time.</s><s>The soft fabric lining and padded interior secure the foot and make it easier for the foot to stay in place, according to some testers.</s><s>The Molded IMEVA makes up the bulk of the mid-sole cushioning system, which is responsible for the lightweight underfoot support and shock absorption.</s><s>A significant number of runners noticed the reliable impact protection in the heel area.</s><s>The outsole unit of the Excursion TR 9 was able to provide durable protection and traction over the trails based on some comments.</s><s>The Saucony Excursion TR 9 is affordable.</s>	<s>The men’s version of the Excursion TR 9 is moderately heavy.</s><s>Some runners noted that it was stiffer than the previous version.</s><s>Others criticized the low-quality stitching, which easily got loose.</s><s>A few felt that it was a bit narrow in the forefoot area.</s>	The Excursion TR 9 from Saucony offers durability, comfort and breathable coverage to trail runners. The trail-specific outsole delivers reliable traction on technical terrains and impressive underfoot protection while the upper of the shoe wraps the foot comfortable while giving support throughout the run. This trail running shoe is designed for neutral runners.	https://www.amazon.com/s?k=Saucony+Excursion+TR+9
430	Nike Air Zoom Pegasus 34 Shield	https://runrepeat.com/nike-air-zoom-pegasus-34-shield	93	4.5/5 from 1398 users	https://cdn.runrepeat.com/i/nike/25730/nike-herren-air-zoom-pegasus-34-shield-laufschuhe-blau-binary-blue-obsidian-armory-blue-obsidia-40-eu-herren-blau-binary-blue-obsidian-armory-blue-obsidia-633b-600.jpg	Road	Neutral			<s>Some of the testers agreed that the shoe was well-constructed.</s><s>A lot of runners commented that the Nike Air Zoom Pegasus 34 Shield provided excellent traction.</s><s>One of the users said that the product was visible during evening runs.</s><s>Many reviewers loved its attractive design.</s><s>This running shoe kept the foot dry on rainy days, according to those who have tried it</s><s>A good number of buyers were impressed with the product's exceptional cushioning.</s>	<s>One user said that the sizing was a bit small when compared to the standard measurements.</s><s>A consumer was disappointed because the color of the shoe was different in the pictures than from the actual.</s>	A good number of runners agreed that the Nike Air Zoom Pegasus 34 Shield was well-constructed and cushioned. They said that the traction it provided was perfect. Although one of the runners commented that the product was a bit small, others still recommended the Nike Air Zoom Pegasus 34 Shield because of its reflectivity, fantastic design, and excellent performance. They loved wearing the shoe even on rainy days because of its breathability.	https://www.amazon.com/s?k=Nike+Air+Zoom+Pegasus+34+Shield
431	Nike Flex RN 2016	https://runrepeat.com/nike-flex-rn-2016	88	4.3/5 from 2979 users	https://cdn.runrepeat.com/i/nike/22477/nike-uomo-flex-2016-rn-scarpe-da-corsa-verde-verde-rio-teal-black-clear-jade-volt-80f2-600.jpg	Road	Neutral			<s>Many of the reviewers loved the comfortable ride of the Flex RN 2016.</s><s>The price tag is very affordable.</s><s>It is very flexible, according to some.</s><s>The 2016 Flex RN runs very light, as noticed by more than a few.</s><s>Most of the comments noted that it is quite durable.</s><s>Several runners living in hot-weather areas valued its excellent breathability.</s><s>Its lightness is appreciated by a handful.</s><s>A moderate number of runners liked the color of the new Flex RN.</s><s>Several runners loved the colorways and stylish appeal of the shoe.</s><s>A handful of users had a great time wearing the shoe right out of the box.</s><s>Despite being very light and minimal, more than a handful of runners use it for gym workouts.</s><s>Many were quite surprised by the grip of this shoe, even on wet pavement.</s>	<s>The fit can be too tight for those with more than average foot dimensions, remarked several.</s><s>The outsole sucks small stones, based on the comments of some runners.</s><s>A significant number of users who prefer to walk had irritation in their heels because the back part of the Nike 2016 Flex RN is a little too high.</s>	The Nike Flex RN 2016 is a no-nonsense trainer that is quite light, but has decent cushioning to handle daily training. It has adequate arch support, superior breathability, excellent comfort, and nice looks. For a very affordable price, runners can get a really functional shoe that looks more than its price tag.	https://www.amazon.com/s?k=Nike+Flex+RN+2016
432	Asics FuzeTora Twist	https://runrepeat.com/asics-fuzetora-twist	90	4.7/5 from 37 users	https://cdn.runrepeat.com/i/asics/29677/asics-fuzetora-twist-chaussures-de-running-homme-multicolore-black-cordovan-001-40-eu-multicolore-black-cordovan-001-d03d-600.jpg	Road	Neutral	8oz	6.5oz	<s>Those who have tested the Asics FuzeTora Twist liked the color schemes; according to them, the hues were eye-catching.</s><s>The width profiles were appreciated; people considered the fit to be adherent to expectations.</s><s>The sizing scheme was generally lauded for following the standard.</s><s>A couple of consumers welcomed the stretchy upper unit.</s><s>Several testers noted that the weight of this running shoe was suitably light.</s>	<s>A few purchasers felt that the in-shoe experience was a bit narrow.</s>	The Asics FuzeTora Twist was welcomed with open arms. People were generally satisfied with what this neutral shoe had to offer. The aesthetics were considered superb. The weight and the sizing scheme were also aspects that were lauded. On the other hand, the response towards the width profiles was split; while some people liked the overall snugness, others claimed that it was tight.	https://www.amazon.com/s?k=Asics+FuzeTora+Twist
433	Skechers GOrun MaxTrail 5 Ultra	https://runrepeat.com/skechers-gorun-maxtrail-5-ultra	87	4.4/5 from 15 users	https://cdn.runrepeat.com/i/skechers/28788/skechers-men-s-gorun-maxtrail-5-ultra-shoe-10-d-us-charcoal-mens-charcoal-d0d9-600.jpg	Trail	Neutral			<s>‘Comfortable’ was a word that was used to describe the experience of running in the Skechers GOrun MaxTrail 5 Ultra.</s><s>This running shoe was deemed visually endearing.</s><s>The underfoot platform was able to provide sufficient support when on uneven terrains, according to a consumer.</s><s>Based on several user feedback, the upper was stretchy and form-fitting.</s><s>People liked that the Skechers GOrun MaxTrail 5 Ultra had a lightweight build.</s>	<s>The midsole tended to be too soft for speedy activities and exercises sessions, a purchaser complained.</s><s>Based on a couple of reviews, debris still got into the foot-chamber through the collar.</s>	Consumers were mostly in agreement when they noted that the Skechers GOrun MaxTrail 5 Ultra offered comfort throughout their adventures on the trails. They noted that the underfoot experience was soft and comfortable and that the upper was flexible and pleasant to the skin. On the other hand, the too-soft midsole and an unsecured upper were points of contention.	https://www.amazon.com/s?k=Skechers+GOrun+MaxTrail+5+Ultra
434	Asics Gel Kayano 25 Lite-Show	https://runrepeat.com/asics-gel-kayano-25-lite-show	89	4.5/5 from 64 users	https://cdn.runrepeat.com/i/asics/29674/asics-men-s-gel-kayano-25-lite-show-running-shoes-black-001-6-uk-black-black-black-001-48e0-600.jpg	Road	Stability	11.9oz	9.8oz	<s>People stated that the design of the Asics Gel Kayano 25 Lite-Show was eye-catching.</s><s>Nighttime runners were happy with the inclusion of a reflective coating; they felt safe when adventuring at night.</s><s>The underfoot cushioning was considered to be comfortable.</s><s>The stability mechanisms were deemed efficient at correcting pronation concerns.</s><s>The traction given by the outsole was lauded; it was apparently dependable.</s>	<s>A few complaints were directed at the width profiles’ tendency to be tighter than usual.</s><s>The front of the shoe looked bulky, based on several comments.</s>	The feedback towards the Asics Gel Kayano 25 Lite-Show was mostly positive. The underfoot experience was appreciated. But the primary selling point was the reflective coating on the upper. Such an inclusion was well-liked. These were some grievances about the inconsistent fit and the disproportionate look of the forefoot, but they didn’t diminish the overall quality of this road companion.	https://www.amazon.com/s?k=Asics+Gel+Kayano+25+Lite-Show
435	Altra Provision 3.5	https://runrepeat.com/altra-provision-35	87	4.3/5 from 973 users	https://cdn.runrepeat.com/i/altra/28697/altra-provision-3-5-blue-e894-600.jpg	Road	Stability			<s>Some testers noted that the Altra Provision 3.5 felt lighter than its predecessor, the Provision 3.0.</s><s>The stability mechanisms of this running shoe were lauded for being able to suitable correct overpronation.</s><s>The general quality of this shoe’s materials was lauded by consumers.</s><s>Several runners liked the color schemes and the sporty design.</s><s>A natural toe splay was appreciated due to the presence of a roomy toe box.</s>	<s>The colors of the inner sleeve tended to bleed out, according to several consumers. They noted some discoloration to their socks whenever they took the shoe off.</s><s>A few testers disliked the medial stability unit because it could apparently be felt under the forefoot.</s>	The Altra Provision 3.5 received mostly positive reviews from consumers. They liked this road shoe’s supportive platform, its high-quality build, and its fresh color schemes. Moreover, some of them felt that it was lighter than the previous iteration. Conversely, several complaints arose regarding the bleeding tint of the interior sleeve and the unwieldy medial support system.	https://www.amazon.com/s?k=Altra+Provision+3.5
436	Adidas Terrex Agravic XT GTX	https://runrepeat.com/adidas-terrex-agravic-xt-gtx	80	4/5 from 21 users	https://cdn.runrepeat.com/i/adidas/30169/adidas-herren-terrex-agravic-xt-gtx-trekking-wanderhalbschuhe-schwarz-negbas-gricin-roalre-000-38-2-3-eu-schwarz-negbas-gricin-roalre-000-bda4-600.jpg	Trail	Neutral			<s>Many users considered the Adidas Terrex Agravic XT GTX to be a comfortable trail running shoe.</s><s>According to a commenter, the Terrex Agravic XT GTX was one of the most stylish trail running shoe currently in the market.</s><s>The shoe was comfortable enough even for long, brisk walks, a buyer stated.</s><s>A lot of customers thought the shoe had a precise fit.</s><s>A few runners claimed they were pleased with the lightness of the shoe.</s>	<s>One runner mentioned that the outsole of the Terrex Agravic XT GTX was too stiff. Another one said it was too rigid to be used in a running shoe.</s><s>Some purchasers agreed that the shoe was expensive.</s>	The Adidas Terrex Agravic XT GTX gained positive comments from various trail runners who were impressed with its comfortable fit and reliable features. Many users also enjoyed the waterproofing benefits delivered by the shoe. Although some had criticized the price, the Terrex Agravic XT GTX was a shoe that most buyers considered to be worth the purchase.	https://www.amazon.com/s?k=Adidas+Terrex+Agravic+XT+GTX
437	The North Face Ultra 110 GTX	https://runrepeat.com/the-north-face-ultra-110-gtx	87	4.1/5 from 243 users	https://cdn.runrepeat.com/i/the-north-face/26552/the-north-face-ultra-110-gtx-tnf-black-dark-shadow-grey-mens-running-tnf-black-dark-shadow-grey-dbfd-600.jpg	Trail	Neutral			<s>The UltrATAC™ outsole easily gripped unstable trails, a reviewer wrote.</s><s>The upper was successful in keeping the foot dry even on snowy days, according to a wearer.</s><s>Many runners were amazed at the comfort delivered by the cushioning.</s><s>The midsole gave ample arch support, a customer remarked.</s><s>A buyer praised the outsole for its sturdiness even on rough trails.</s><s>Runs true to size.</s>	<s>Some users thought the Ultra 110 GTX was heavy.</s><s>The fit was a little tight around the toe box, a couple of wearers observed.</s><s>The shoe was too stiff, said a customer.</s><s>One buyer commented that the tongue rubbed against the foot uncomfortably.</s><s>The shoe was squeaking with each step, expressed a dismayed user.</s>	The North Face Ultra 110 GTX has received mixed reviews from consumers, with the positive and negative feedback almost in equal numbers. On the one hand, the Ultra 110 GTX has efficient and impressive features that were able to wow its users. On the other hand, some were disappointed by the shoe’s construction and fit. Overall, this shoe could be considered as an average trail runner, but areas for improvement are apparent.	https://www.amazon.com/s?k=The+North+Face+Ultra+110+GTX
438	Nike LunarEpic Flyknit	https://runrepeat.com/nike-lunarepic-flyknit	91	4.5/5 from 237 users	https://cdn.runrepeat.com/i/nike/21320/nike-lunarepic-flyknit-men-s-running-shoe-black-black-650a-600.jpg	Road	Neutral	7.7oz	6.6oz	<s>The soft, form-fitting upper and cozy interior creates a very comfortable run.</s><s>A good number of runners liked the LunarEpic Flyknit’s plush cushioning.</s><s>It is flexible.</s><s>It is light.</s><s>The shoe can be used as a long-distance trainer or for shorter and faster runs, based on several comments from runners.</s><s>Nike’s unique Flywire helps secure the midfoot in snug comfort.</s><s>Two sockliners, one 4mm and another 6mm version, for better and personalized fit.</s><s>A small number of runners use the shoe for casual wear.</s><s>Unbelievable traction on a multitude of surfaces, based on several testers’ comments.</s>	<s>Nike’s LunarEpic in Flyknit is very expensive.</s><s>Others were having reservations about the mid-rise design of the upper.</s><s>The fit is too narrow for several runners.</s><s>Some said that the upper has several durability issues.</s>	The Nike LunarEpic Flyknit is a stylistically-unique lightweight shoe that offers a seamless upper that fits like a second skin, decent arch support, and very comfortable ride. This is a versatile shoe that can take on various kinds of runs because of the responsive and durable Lunarlon foam. It feels fast and looks really nice for casual wear.	https://www.amazon.com/s?k=Nike+LunarEpic+Flyknit
439	Nike LunarConverge	https://runrepeat.com/nike-lunarconverge	90	4.5/5 from 230 users	https://cdn.runrepeat.com/i/nike/24571/nike-men-s-lunarconverge-black-electric-green-anthracite-white-10-d-us-men-s-black-electric-green-anthracite-white-f6fc-600.jpg	Road	Neutral	9oz	8oz	<s>The majority felt very comfortable in the Nike LunarConverge.</s><s>Customers admired the flexible nature of the insole.</s><s>Many users were happy with its light weight; they felt like they were wearing nothing on their feet.</s><s>Most customers thought this running shoe was more reasonable in terms of price.</s><s>The wearers also liked the upper unit since it ensured better breathability and a healthier feel during their runs.</s><s>A few runners expressed satisfaction with the fit and size of the shoe.</s><s>A few buyers praised the quality and the nice color schemes.</s><s>A small number of users also liked the aesthetic style and considered it a perfect option for everyday attire.</s>	<s>Some users seemed irritated with the suction-cup-construction at the shoe’s bottom; they mentioned that they felt shallowness under their heel.</s><s>A user was disappointed with the squeaky sound produced by the shoe’s bottom as he walked.</s><s>Another customer felt tightness in the mid-foot section.</s>	The Nike LunarConverge offers high performance, a comfortable fit, stylish looks and an adaptive construction. In addition to running, it’s also a solid option for training and casual wear. Overall, this shoe delivers an excellent performance and comfort. 	https://www.amazon.com/s?k=Nike+LunarConverge
440	Asics Gel Quantum Infinity	https://runrepeat.com/asics-gel-quantum-infinity	87	4.2/5 from 23 users	https://cdn.runrepeat.com/i/asics/30610/asics-gel-quantum-infinity-men-s-running-shoe-black-shocking-orange-7-d-us-black-shocking-orange-2e3f-600.jpg	Road	Neutral	13.8oz	11.1oz	<s>The GEL Quantum Infinity is the first shoe from Asics to feature a visible full-length GEL technology midsole from heel to toe giving the shoe incredible comfort and flexibility.</s><s>Most of the users are pleased on how comfortable the cushioning on the new Asics Gel Quantum Infinity is saying it gives it a “pillow-soft” feel.</s><s>Some runners applauded the fact the shoe is very lightweight.</s><s>Also liked by a few users is that the shoe fits snugly with an ample room in the toe-box.</s><s>It had been mentioned in some reviews that the shoe fits well even on users with wide feet.</s>	<s>One of the testers said that his feet felt a little warm towards the end of the run.</s><s>A few reviews said that the shoe does not provide a substantial amount of energy return, especially when compared to running shoes like the Adidas Ultra Boost.</s><s>Also noted by a user is that the Gel Quantum Infinity is quite heavier than many running shoes of the same type and same size.</s>	The Asics Gel Quantum Infinity is a stylish-looking running shoe that provides the right amount of cushioning suited for all types of daily activities.  May it be for vigorous runs or just taking a leisurely walk, this well-engineered shoe did not disappoint the users in providing a high level of comfort and stability when they are on the move. Although the shoe’s weight and breathability is something that needs to be improved according to some testers, it does not diminish the fact that the Asics Gel Quantum Infinity is a shoe that needs to be added in a neutral runner’s shoe arsenal.	https://www.amazon.com/s?k=Asics+Gel+Quantum+Infinity
441	Saucony Ride 9	https://runrepeat.com/saucony-ride-9	85	4.1/5 from 843 users	https://cdn.runrepeat.com/i/saucony/22904/saucony-men-s-ride-9-running-shoe-grey-charcoal-red-8-m-us-mens-3e76-600.jpg	Road	Neutral			<s>The Saucony Ride 9 impressed most of the reviewers where comfort is concerned.</s><s>Many runners consider the price as well worth the investment.</s><s>It is lighter than the earlier model.</s><s>The new Tri-Flex outsole enhances ground contact and flexibility.</s><s>Saucony adds the Everun as the top sole for more consistency in the cushioning.</s><s>A good number of runners appreciated the superb traction from this shoe.</s><s>It is available in narrow and wide widths.</s><s>It has excellent support, according to a handful.</s><s>Durability is not compromised despite being a relatively lightweight shoe, according to several testers.</s><s>It is a versatile shoe that can handle almost all types of distances under different speeds.</s><s>Breathability is another strong point of the Ride 9.</s>	<s>The fit is a bit narrow, based on some runners’ observations.</s><s>Some runners noticed that it runs a bit small.</s><s>A moderate number of Saucony Ride fans were hugely disappointed that the spirit and performance of this well-liked shoe are no longer around in this latest version.</s><s>Some loyal fans of the Ride were upset that the shoe can no longer accommodate their orthotics.</s>	The Ride 9 is Saucony’s go-to versatile trainer that juggles responsive cushioning, flexibility, support, and smooth transitions in one go. Saucony tweaked some of the things in the latest version of the Ride to give a smoother and more responsive feel than the past instalment. It is light enough for up-tempo runs or for marathon racing, but delivers enough cushioning for everyday running. Several experts are already tipping it to be one of the best trainers of the year.	https://www.amazon.com/s?k=Saucony+Ride+9
442	Adidas Ultra Boost ST Parley	https://runrepeat.com/adidas-ultra-boost-st-parley	94	4.5/5 from 459 users	https://cdn.runrepeat.com/i/adidas/28696/adidas-ultra-boost-st-shoes-parley-stability-running-shoes-men-s--a980-600.jpg	Road	Stability	11.5oz	10.3oz	<s>The color scheme of the Adidas Ultra Boost ST Parley was lauded by many consumers for being eye-catching.</s><s>People generally liked the high-quality build of this running shoe.</s><s>‘Comfortable’ was a word that was frequently used to describe the experience while wearing this product.</s><s>The use of recycled plastic on the upper unit was appreciated by environment-conscious runners.</s><s>Wearing this shoe for extended periods didn’t cause any discomfort, according to several purchasers.</s>	<s>A few testers claimed that the fit was a bit narrow.</s><s>Some overpronators felt that the underfoot support system wasn’t as prominent as other stability options.</s><s>There were complaints that the price was too costly.</s>	The Adidas Ultra Boost ST Parley was well-received as a running shoe that has an effect on the environment. The use of recycled plastic was liked by consumers and shoe-enthusiasts. Most of the testers were also happy with the comfortable performance of its parts, the appealing design, and the overall quality of the materials. On the other hand, there were gripes about this stability option, such as the narrow width, the less-supportive platform, and the high price.	https://www.amazon.com/s?k=Adidas+Ultra+Boost+ST+Parley
443	Hoka One One Hupana	https://runrepeat.com/hoka-one-one-hupana	88	4.2/5 from 499 users	https://cdn.runrepeat.com/i/hoka-one-one/23246/hoka-one-one-hupana--74a9-600.jpg	Road	Neutral			<s>A lot of consumers appreciated the lightweight nature of the Hoka One One Hupana, stating that it didn’t drag their feet down.</s><s>Several purchasers wrote that the upper was able to give a locked-in feel in the mid-foot.</s><s>Some of those who have tried this shoe were able to use it for many kinds of activities, even casual walks; they noted that it remained efficient throughout.</s><s>The underfoot cushioning was firm yet responsive to the movements of the foot, some runners commented.</s><s>This running shoe looked visually appealing, according to some reviewers.</s><s>A heavyset tester was happy that the cushioning system was durable and long-lasting, noting that it was a winner for those with heavier weights.</s><s>Runners praised the traction-capability of the RMAT platform; they felt that it held the ground well.</s><s>The price is very reasonable based on its performance and durability.</s><s>The first Hoka shoe that does not look ridiculous, based on the comments of many reviewers.</s><s>The versatility of the Hupana includes speed work, fartleks, and high-mileage running.</s><s>A handful of expert reviewers were amazed by the smooth transitions, including a very nice toe-off phase from this shoe.</s>	<s>A few testers commented that the Hoka One One Hupana was ½ size bigger than what they were used to.</s><s>The toe-box was uncomfortably narrow, noted a dissatisfied runner.</s><s>Some runners noticed that the upper is quite stiff all throughout the shoe.</s><s>A handful of expert reviewers and some runners found the upper to lack breathability.</s>	A lot of runners enjoyed the Hoka One One Hupana. They welcomed its simple yet eye-catching design, as well as its comfortable cushioning. Neutral runners were happy that it was able to allow them to move naturally without compromising the cushioning. The lightweight nature of this road shoe also received positive recognition. Inversely, some runners had some complaints about the width and the sizing scheme.	https://www.amazon.com/s?k=Hoka+One+One+Hupana
444	Asics Kanmei	https://runrepeat.com/asics-kanmei	87	4.3/5 from 69 users	https://cdn.runrepeat.com/i/asics/24650/asics-kanmei-male--cf86-600.jpg	Road	Neutral	7.2oz	5.7oz	<s>The aesthetics of the Asics Kanmei worked well for a lot of those who have tested it.</s><s>Most runners immediately noticed the lightweight disposition of this running shoe, stating that it was agreeable for long-term use.</s><s>The breathability of the mesh material gained positive remarks.</s><s>Everyday errands and casual walks were made fun and pleasant with the use of this product, a lot of purchasers conveyed.</s><s>The underfoot cushioning system felt dutifully flexible and responsive, stated a buyer.</s>	<s>A consumer noticed some tightness in the forefoot area while wearing this shoe for a few hours.</s><s>Several runners observed that it was one size smaller than they anticipated.</s><s>A few users complained that it needed a long time to break-in. Their initial runs were apparently uncomfortable.</s>	The Asics Kanmei gained mostly positive feedback from its consumers. They were happy that this road running shoe was able to offer lightweight performance in a visually appealing experience. Most of them were also delighted with its versatility as a casual option for daily walks. But there were complaints about its construction, with tightness, inconsistent sizing, and long break-in periods as culprits for discomfort.	https://www.amazon.com/s?k=Asics+Kanmei
